Date,Open,High,Low,Close,Adj Close,Volume
2016-11-09,23.043333,24.633333,23.033333,24.426666,24.237593,17958300
2016-11-10,24.726667,25.049999,24.006666,24.576666,24.386429,14716200
2016-11-11,24.313334,24.503334,24.036667,24.413334,24.224363,9115800
2016-11-14,24.616667,24.696667,24.176666,24.459999,24.270668,6928800
2016-11-15,24.623333,25.030001,24.533333,25.030001,24.836258,6975000
2016-11-16,24.783333,24.983334,24.740000,24.903334,24.710571,5199900
2016-11-17,24.946667,25.296667,24.910000,25.266666,25.071093,5733300
2016-11-18,25.296667,25.366667,25.030001,25.100000,24.905716,5756700
2016-11-21,25.333334,25.680000,25.283333,25.663334,25.464687,6934200
2016-11-22,25.806667,25.893333,25.523333,25.813334,25.613527,5819700
2016-11-23,25.606667,25.879999,25.526667,25.860001,25.659830,5017800
2016-11-25,26.000000,26.156666,25.966667,26.156666,25.954203,2104800
2016-11-28,26.016666,26.129999,25.733334,25.786667,25.587067,5085000
2016-11-29,25.793333,26.110001,25.663334,25.933332,25.732599,4304700
2016-11-30,26.183332,26.250000,25.709999,25.726667,25.527529,6672000
2016-12-01,25.846666,25.853333,25.299999,25.430000,25.233162,6401400
2016-12-02,25.480000,25.680000,25.340000,25.476667,25.279467,4539600
2016-12-05,25.816668,26.080000,25.743334,25.906666,25.706137,6134100
2016-12-06,26.020000,26.200001,25.823334,26.193333,25.990585,5413200
2016-12-07,26.126667,27.236666,26.070000,27.193333,26.982843,9288600
2016-12-08,27.196667,27.610001,27.090000,27.400000,27.187912,6087900
2016-12-09,27.513334,27.903334,27.493334,27.889999,27.674118,6509400
2016-12-12,27.873333,28.073334,27.633333,27.813334,27.598045,5651400
2016-12-13,28.090000,28.576666,28.083334,28.343334,28.123945,7431900
2016-12-14,28.230000,28.549999,27.469999,27.696667,27.482283,10594200
2016-12-15,27.773333,28.366667,27.709999,27.980000,27.763422,7365000
2016-12-16,28.206667,28.213333,27.703333,27.860001,27.644350,7110000
2016-12-19,27.933332,28.196667,27.853333,28.013334,27.796499,4967700
2016-12-20,28.240000,28.403334,28.150000,28.309999,28.090868,5772300
2016-12-21,28.286667,28.353333,28.100000,28.100000,27.882494,3574500
2016-12-22,28.030001,28.080000,27.783333,27.966667,27.750193,4995900
2016-12-23,27.946667,28.063334,27.886667,28.049999,27.832878,3117000
2016-12-27,28.180000,28.433332,28.176666,28.263334,28.044563,3114600
2016-12-28,28.360001,28.379999,27.520000,27.590000,27.376440,5525400
2016-12-29,27.600000,27.740000,27.360001,27.543333,27.330135,4592100
2016-12-30,27.683332,27.716667,26.953333,27.260000,27.048996,8905500
2017-01-03,27.793333,28.070000,27.366667,27.850000,27.634428,7197300
2017-01-04,27.983334,28.406666,27.983334,28.346666,28.127251,6281100
2017-01-05,28.230000,28.346666,27.936666,28.260000,28.041254,6464700
2017-01-06,28.330000,28.780001,28.090000,28.580000,28.358778,5885100
2017-01-09,28.456667,28.523333,28.276667,28.309999,28.090868,5755200
2017-01-10,28.306667,28.656666,28.120001,28.263334,28.044563,4707000
2017-01-11,28.230000,28.503334,27.956667,28.493334,28.272783,9726300
2017-01-12,28.293333,28.386667,27.713333,28.306667,28.087559,8859300
2017-01-13,28.383333,28.626667,28.360001,28.483334,28.262859,3972900
2017-01-17,28.203333,28.393333,28.030001,28.219999,28.001564,5593500
2017-01-18,28.299999,28.386667,28.066668,28.366667,28.147097,4031100
2017-01-19,28.400000,28.473333,27.873333,28.070000,27.852724,6138600
2017-01-20,28.356667,28.576666,28.113333,28.360001,28.140480,7149900
2017-01-23,28.209999,28.379999,27.813334,28.139999,27.922182,6055500
2017-01-24,28.230000,28.860001,28.183332,28.676666,28.454695,5153700
2017-01-25,29.093334,29.420000,29.010000,29.373333,29.145969,7391400
2017-01-26,29.353333,29.476667,29.206667,29.306667,29.079821,5368200
2017-01-27,29.363333,29.420000,29.106667,29.203333,28.977285,4192500
2017-01-30,28.870001,28.886667,28.203333,28.676666,28.454695,6969000
2017-01-31,28.413334,28.660000,28.173334,28.660000,28.438162,5474100
2017-02-01,28.900000,29.023333,28.406666,28.676666,28.454695,5696100
2017-02-02,28.510000,28.833334,28.360001,28.716667,28.494389,4362600
2017-02-03,29.100000,29.373333,28.973333,29.293333,29.066589,7833300
2017-02-06,29.123333,29.286667,28.993334,29.170000,28.944212,3966600
2017-02-07,29.323334,29.410000,29.053333,29.150000,28.924366,5476200
2017-02-08,29.016666,29.306667,28.896667,29.266666,29.040127,3888000
2017-02-09,29.376667,29.903334,29.356667,29.766666,29.536257,5289600
2017-02-10,29.936666,30.219999,29.886667,30.116667,29.883549,3978600
2017-02-13,30.340000,30.726667,30.333334,30.576666,30.339991,4056900
2017-02-14,30.526667,30.980000,30.370001,30.969999,30.730280,4811100
2017-02-15,30.863333,31.536667,30.850000,31.433332,31.190023,5166900
2017-02-16,31.463333,31.543333,31.030001,31.373333,31.130489,5444100
2017-02-17,31.056667,31.503334,31.056667,31.496666,31.252869,3715200
2017-02-21,31.693333,32.150002,31.686666,32.040001,31.791996,5271600
2017-02-22,31.889999,32.093334,31.809999,31.983334,31.735769,5105100
2017-02-23,32.243332,32.243332,31.696667,32.063332,31.815145,4938900
2017-02-24,31.639999,32.183334,31.629999,32.169998,31.920986,3907200
2017-02-27,32.136665,32.389999,32.009998,32.313332,32.063213,4406100
2017-02-28,32.133335,32.246666,31.866667,32.073334,31.825071,3895200
2017-03-01,32.830002,33.606667,32.823334,33.366665,33.108395,5638800
2017-03-02,33.303333,33.310001,32.740002,32.799999,32.546112,4933500
2017-03-03,32.726665,32.893333,32.540001,32.830002,32.575882,4241700
2017-03-06,32.410000,32.686668,32.233334,32.543335,32.291431,4121400
2017-03-07,32.373333,32.543335,32.133335,32.253334,32.003677,3770400
2017-03-08,32.363335,32.476665,31.980000,32.043335,31.795305,4254300
2017-03-09,32.086666,32.310001,31.709999,32.156666,31.907757,4472100
2017-03-10,32.616665,32.633335,32.053333,32.473331,32.221977,5202300
2017-03-13,32.466667,32.553333,32.306667,32.523335,32.271591,2698500
2017-03-14,32.279999,32.306667,31.873333,32.189999,31.940836,5398800
2017-03-15,32.430000,33.183334,32.316666,32.953335,32.698261,4770000
2017-03-16,33.053333,33.093334,32.643333,32.823334,32.569263,4546800
2017-03-17,32.933334,33.003334,32.606667,32.606667,32.354279,3454800
2017-03-20,32.606667,32.743332,32.320000,32.513332,32.261665,3202500
2017-03-21,32.793335,32.849998,31.200001,31.276667,31.034569,9262500
2017-03-22,31.260000,31.600000,30.973333,31.466667,31.223101,5071200
2017-03-23,31.350000,31.886667,31.193333,31.360001,31.117260,4687800
2017-03-24,31.500000,31.773333,30.940001,31.296667,31.054415,5299500
2017-03-27,30.493334,31.313334,30.383333,31.183332,30.941961,4973400
2017-03-28,31.059999,32.073334,31.000000,31.833334,31.586929,5147700
2017-03-29,31.730000,32.060001,31.626667,31.980000,31.732458,3685800
2017-03-30,31.940001,32.353333,31.843334,32.230000,31.980526,3939900
2017-03-31,32.083332,32.340000,32.003334,32.003334,31.755613,3906900
2017-04-03,32.056667,32.150002,31.280001,31.879999,31.633232,6081900
2017-04-04,31.716667,31.953333,31.546667,31.933332,31.686153,3391200
2017-04-05,32.226665,32.683334,31.533333,31.610001,31.365322,8204400
2017-04-06,31.706667,32.116665,31.490000,31.870001,31.623312,3810000
2017-04-07,31.783333,32.106667,31.556667,31.776667,31.530701,4075500
2017-04-10,31.846666,32.206665,31.600000,31.826666,31.580313,4983600
2017-04-11,31.650000,31.766666,31.023333,31.713333,31.467857,6127800
2017-04-12,31.590000,31.666666,31.186666,31.313334,31.070955,4175700
2017-04-13,31.143333,31.476667,30.700001,30.716667,30.478905,6109200
2017-04-17,30.920000,31.493334,30.830000,31.493334,31.249561,3392100
2017-04-18,31.160000,31.440001,30.893333,31.193333,30.951881,4386900
2017-04-19,31.480000,31.639999,30.930000,31.033333,30.793119,4450200
2017-04-20,31.306667,31.983334,31.166666,31.756666,31.510853,5840100
2017-04-21,31.733334,31.763334,31.290001,31.490000,31.246254,4440000
2017-04-24,32.523335,32.606667,32.286667,32.490002,32.238510,5654400
2017-04-25,32.803333,33.236668,32.766666,33.060001,32.804104,5757600
2017-04-26,33.053333,33.473331,32.986668,33.013332,32.757793,5094300
2017-04-27,33.173332,33.226665,32.826668,33.093334,32.837173,3939000
2017-04-28,33.203335,33.216667,32.803333,32.889999,32.635410,3626400
2017-05-01,33.090000,33.306667,32.913334,33.096668,32.840488,3862500
2017-05-02,33.186668,33.226665,32.953335,33.153332,32.896709,4061100
2017-05-03,32.946667,33.116665,32.696667,33.046665,32.790867,5023200
2017-05-04,33.160000,33.193333,32.726665,33.110001,32.853714,5106600
2017-05-05,33.290001,33.526669,33.096668,33.526669,33.267155,5075400
2017-05-08,33.523335,33.599998,33.293335,33.506668,33.247314,3611400
2017-05-09,33.613335,33.706665,33.233334,33.416668,33.158009,4014000
2017-05-10,33.360001,33.570000,33.270000,33.570000,33.310154,2978100
2017-05-11,33.346668,33.436668,32.840000,33.386665,33.128239,5360400
2017-05-12,33.240002,33.283333,33.070000,33.220001,32.962864,3270000
2017-05-15,33.383335,33.786667,33.383335,33.713333,33.452377,4801200
2017-05-16,33.880001,33.886665,33.453335,33.639999,33.379612,4192500
2017-05-17,32.803333,33.023335,31.813334,31.870001,31.623312,10155600
2017-05-18,31.786667,32.603333,31.686666,32.200001,31.950756,6309600
2017-05-19,32.456665,33.153332,32.426666,32.826668,32.572578,5563200
2017-05-22,33.066666,33.416668,33.049999,33.353333,33.095161,3267600
2017-05-23,33.516666,33.639999,33.340000,33.563332,33.303535,3249300
2017-05-24,33.673332,33.833332,33.503334,33.753334,33.492065,3988200
2017-05-25,33.996666,34.403332,33.926666,34.230000,33.965038,4833600
2017-05-26,34.156666,34.320000,34.136665,34.246666,33.981579,2435400
2017-05-30,34.086666,34.266666,34.006668,34.163334,33.898891,2602200
2017-05-31,34.290001,34.310001,33.773335,34.106667,33.842667,4767300
2017-06-01,34.310001,34.916668,34.196667,34.903332,34.633163,3882600
2017-06-02,34.946667,35.346668,34.803333,35.240002,34.967228,3876600
2017-06-05,35.186668,35.320000,35.093334,35.193333,34.920921,2879400
2017-06-06,34.900002,35.173332,34.813332,34.876667,34.606705,3452100
2017-06-07,35.023335,35.139999,34.683334,35.033333,34.762157,3573600
2017-06-08,35.066666,35.320000,34.820000,35.076668,34.805157,4900800
2017-06-09,35.226665,35.613335,34.296665,34.930000,34.659630,8171700
2017-06-12,34.783333,34.923332,34.483334,34.883335,34.613319,5969400
2017-06-13,35.163334,35.426666,34.993332,35.386665,35.112755,3930300
2017-06-14,35.536667,35.536667,34.833332,35.263332,34.990379,6646500
2017-06-15,34.590000,35.110001,34.433334,35.040001,34.768780,4537500
2017-06-16,35.130001,35.130001,34.630001,35.040001,34.768780,3753900
2017-06-19,35.476665,35.966667,35.430000,35.926666,35.648579,4241100
2017-06-20,35.750000,35.763332,35.206665,35.240002,34.967228,4427100
2017-06-21,35.366665,35.443333,34.953335,35.166668,34.894463,4595400
2017-06-22,35.176666,35.419998,35.043335,35.126667,34.854771,3457200
2017-06-23,35.180000,35.410000,34.963333,35.276669,35.003609,2853000
2017-06-26,35.576668,35.783333,35.206665,35.306667,35.033379,3798300
